,Geopolitical entity (reporting),TIME_PERIOD,Bribery,Burglary,Corruption,Fraud,Intentional homicide,Kidnapping,Rape,Robbery,Sexual assault,Sexual violence,Theft,Unlawful acts involving controlled drugs or precursors
217,Lithuania,2018,19.675,1026.8,287.38,1441.04,50.225,0.0,60.065,425.63,53.335,113.4,6644.935,1667.32
218,Lithuania,2019,39.36,849.865,256.36,1543.845,43.505,0.0,48.68,344.4,49.72,98.4,5646.085,1594.595
219,Lithuania,2020,162.1,633.905,285.36,1392.1,51.27,0.52,37.29,248.07,27.965,65.255,4892.555,1522.61
220,Lithuania,2021,181.26,425.7,323.16,1697.625,36.25,0.52,35.215,160.545,40.915,76.13,4006.355,1628.745
221,Lithuania,2022,174.505,420.47,271.855,2054.705,32.105,0.0,34.695,177.095,38.32,73.01,4985.56,1594.88
222,Lithuania,2023,83.835,375.705,170.255,,35.705,0.0,47.61,175.95,46.055,93.665,5223.635,1972.19
223,Luxembourg,2014,,2581.32,,,2.365,30.73,43.14,363.44,213.93,212.155,6062.68,2476.13
224,Luxembourg,2015,,1242.99,,,2.945,31.205,40.04,326.205,169.57999999999998,193.13,5412.99,2752.715
225,Luxembourg,2016,2.935,1110.165,2.935,580.315,2.935,29.34,62.195,269.325,,154.32,5840.6900000000005,2335.925
226,Luxembourg,2017,0.585,1183.33,0.585,343.775,1.17,26.895,49.11,265.43,,136.225,5899.12,1568.615
227,Luxembourg,2018,1.75,2138.065,1.75,376.655,1.75,20.990000000000002,44.31,261.79,,132.355,6012.47,1750.915
228,Luxembourg,2019,0.58,2053.09,0.58,432.595,2.325,25.585,67.45,265.72,,172.11,5770.865,2464.175
229,Luxembourg,2020,2.9,1730.3,2.9,855.29,1.16,24.355,60.305,273.695,,167.57999999999998,5368.33,2678.365
230,Luxembourg,2021,2.315,1797.67,2.315,1330.6,1.7349999999999999,21.415,63.665,344.37,,201.415,6309.79,2183.715
231,Luxembourg,2022,0.0,2361.86,0.0,2707.765,5.195,30.03,75.65,376.51,,226.37,9392.0,2070.815
232,Luxembourg,2023,,2287.115,,,2.305,,84.045,329.855,,175.57999999999998,12818.905,1801.255
233,Malta,2014,,767.46,,,3.705,0.0,6.795,117.33500000000001,40.76,47.55,4168.95,118.355
234,Malta,2015,,638.88,,,2.465,0.0,14.18,148.52,49.935,64.11,4523.09,96.355
235,Malta,2016,0.61,658.665,3.055,305.505,3.055,0.0,16.495,158.25,37.269999999999996,53.769999999999996,4572.79,132.59
236,Malta,2017,0.61,771.13,1.825,478.99,5.48,0.0,11.565,122.94,35.91,47.475,4130.135,188.675
237,Malta,2018,1.21,732.785,4.84,624.47,3.63,0.0,10.89,125.86,45.385,56.275,3091.495,210.57999999999998
238,Malta,2019,0.6,763.655,2.4050000000000002,494.275,2.4050000000000002,0.0,18.64,104.625,52.915,71.555,3118.9700000000003,95.605
239,Malta,2020,0.595,618.67,9.555,484.9,3.585,0.0,10.15,76.44,42.995,53.15,2038.7350000000001,100.325
240,Malta,2021,3.58,521.075,15.52,1418.785,1.195,0.0,19.1,60.285,63.269999999999996,82.37,2091.4700000000003,362.305
